availability;description;features;brand;name;id;price;category;images;quantity
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;PADLIGHT STOJĄCA;8833;180.81;Stojące zewnętrzne;https://jasniej.com/19732-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19733-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19734-thickbox_01resp/padlight-stojaca.jpg;5
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908002337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8831;158.67;Stojące zewnętrzne;https://jasniej.com/19726-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19727-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19728-thickbox_01resp/table-cube-stojaca.jpg;7
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908003331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 0K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8830;114.39;Stojące zewnętrzne;https://jasniej.com/19723-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19724-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19725-thickbox_01resp/table-cube-stojaca.jpg;9
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8828;103.32;Stojące zewnętrzne;https://jasniej.com/19717-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19718-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19719-thickbox_01resp/table-cube-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8829;103.32;Stojące zewnętrzne;https://jasniej.com/19720-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19721-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19722-thickbox_01resp/table-cube-stojaca.jpg;8
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8827;103.32;Stojące zewnętrzne;https://jasniej.com/19714-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19715-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19716-thickbox_01resp/table-cube-stojaca.jpg;5
10 dni;Producent: Lutec  <br>Nazwa: TABLE CUBE  <br>Symbol: 6908001340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 133<br>  * szerokość (mm): 120<br>  * głębokość (mm): 120<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;TABLE CUBE STOJĄCA;8826;103.32;Stojące zewnętrzne;https://jasniej.com/19711-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19712-thickbox_01resp/table-cube-stojaca.jpg, https://jasniej.com/19713-thickbox_01resp/table-cube-stojaca.jpg;9
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;PADLIGHT STOJĄCA;8832;180.81;Stojące zewnętrzne;https://jasniej.com/19729-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19730-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19731-thickbox_01resp/padlight-stojaca.jpg;0
10 dni;Producent: Lutec  <br>Nazwa: POPPY  <br>Symbol: 6910802335  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 190<br>  * szerokość (mm): 48<br>  * głębokość (mm): 46<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 8W 500lm 3000K<br>  * max moc źródła: 8 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;POPPY STOJĄCA;8825;676.5;Stojące zewnętrzne;https://jasniej.com/19708-thickbox_01resp/poppy-stojaca.jpg, https://jasniej.com/19709-thickbox_01resp/poppy-stojaca.jpg, https://jasniej.com/19710-thickbox_01resp/poppy-stojaca.jpg;3
10 dni;Producent: Lutec  <br>Nazwa: CATE  <br>Symbol: 7264210213  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 945<br>  * szerokość (mm): 265<br>  * głębokość (mm): 176<br>  * ilość źródeł / rodzaj trzonka: 1 x E27 60W<br>  * max moc źródła: 60 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Matowa rdza<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;CATE STOJĄCA;8822;248.46;Stojące zewnętrzne;https://jasniej.com/19699-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19700-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19701-thickbox_01resp/cate-stojaca.jpg;1
